,idUF,Mun,Est,Trab,Atv,Rend,idUFNum,Estado
448,43,00034,,,,,43,Rio Grande do Sul
449,43,00034,1,2,,,43,Rio Grande do Sul
450,43,00034,5,1,834,600.0,43,Rio Grande do Sul
451,43,00034,5,2,,,43,Rio Grande do Sul
452,43,00034,5,2,,,43,Rio Grande do Sul
453,43,00034,5,2,,,43,Rio Grande do Sul
454,43,00034,5,2,,,43,Rio Grande do Sul
455,43,00034,5,2,,,43,Rio Grande do Sul
456,43,00034,5,2,,,43,Rio Grande do Sul
457,43,00034,4,2,,,43,Rio Grande do Sul
458,43,00034,5,1,711,600.0,43,Rio Grande do Sul
459,43,00034,,,,,43,Rio Grande do Sul
460,43,00034,5,1,613,1200.0,43,Rio Grande do Sul
461,43,00034,5,2,,,43,Rio Grande do Sul
462,43,00034,,,,,43,Rio Grande do Sul
463,43,00034,5,1,612,500.0,43,Rio Grande do Sul
464,43,00034,5,1,612,500.0,43,Rio Grande do Sul
465,43,00034,5,2,,,43,Rio Grande do Sul
466,43,00034,5,2,,,43,Rio Grande do Sul
467,43,00034,5,2,,,43,Rio Grande do Sul
468,43,00034,5,2,,,43,Rio Grande do Sul
469,43,00034,5,1,612,300.0,43,Rio Grande do Sul
470,43,00034,4,2,,,43,Rio Grande do Sul
471,43,00034,,,,,43,Rio Grande do Sul
472,43,00034,1,1,411,2000.0,43,Rio Grande do Sul
473,43,00034,1,1,263,2550.0,43,Rio Grande do Sul
474,43,00034,3,1,911,510.0,43,Rio Grande do Sul
475,43,00034,5,1,832,1000.0,43,Rio Grande do Sul
